brand,name,image,price
Puma,Rebound Lay Up Casual Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18814736/2022/7/25/0d04a39f-4981-4635-8364-0f09bd7977881658749257245-Puma-Unisex-Casual-Shoes-131658749256879-1.jpg",Rs. 4999
Red Tape,Women Perforated Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23004446/2023/5/4/95097ba4-5cb2-470b-a713-053e44ab5e171683183746216RedTapeWomenWhitePrintedPUSneakers1.jpg",Rs. 5699
Red Tape,Women PU Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19438314/2022/8/8/4d3ae0a8-7157-4148-a411-b0b58d1229db1659978393172SportsShoes1.jpg",Rs. 5099
Puma,Unisex Up Baseline Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18814512/2022/7/25/8c56c907-6d3e-412a-a611-9f479882a0f51658732402927-Puma-Unisex-Casual-Shoes-4271658732402617-1.jpg",Rs. 3999
Roadster,Women Comfort Insole Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23077180/2023/5/9/6aa54141-1aac-4359-942f-c4e7239567371683605849618CasualShoes1.jpg",Rs. 3995
PUMA Motorsport,Unisex Ferrari Drift Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14825886/2023/2/17/decb50df-4484-462b-96bf-9830e44b0dac1676632967825-PUMA-Motorsport-Unisex-Black-Scuderia-Ferrari-Drift-Cat-Delt-6.jpg",Rs. 7999
PUMA Motorsport,Ferrari X-Ray Speed Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24184736/2023/7/26/ae32bc79-2736-4ee6-9a04-85e0c1baa46b1690368943614FerrariX-RaySpeed1.jpg",Rs. 8999
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21724256/2023/1/28/786bfa9e-c54e-4dd3-a2cb-a3ebb822930b1674858618142RedTapeMenBlueMeshWalkingNon-MarkingShoes1.jpg",Rs. 6799
OPHELIA,Women Lightweight Loafers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24373544/2023/8/7/383b5337-68e9-4247-841b-c03fa8e138841691405671591OPHELIAWomenBlackBoatShoes1.jpg",Rs. 1999
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21724254/2023/1/28/8e25db0f-28e9-4ebc-9f7e-3cc35c869a441674858618134RedTapeMenWhiteMeshWalkingNon-MarkingShoes1.jpg",Rs. 6799
Red Tape,Women Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22225324/2023/3/4/da20fc59-8da7-4b74-9a87-18de360fa5261677911985055RedTapeWomensBlackAthleisureShoes1.jpg",Rs. 4699
Marks & Spencer,Women Leather Boat Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24795238/2023/9/4/c8c87805-d770-492d-9f3b-a4ef5533ba5d1693815173270MarksSpencerWomenBrownTexturedLeatherSlip-OnSneakers1.jpg",Rs. 2999
PUMA Motorsport,Unisex Scuderia Ferrari Drift,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14826090/2023/2/17/09caf9ea-c948-4c40-b9f0-145e7fa207811676633013338-PUMA-Motorsport-Unisex-Red-Scuderia-Ferrari-Drift-Cat-Delta--6.jpg",Rs. 7999
