brand,name,image,price
U.S. Polo Assn.,Men Clarkin Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10339033/2023/8/28/cddbcb00-a90c-43a9-8c63-d69dbaa0b2bb1693219412898-US-Polo-Assn-Men-White-Clarkin-Sneakers-6251693219412794-6.jpg",Rs. 2999
Red Tape,Men Mid -Top Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23410032/2023/5/27/7fb43d85-5290-4223-9cff-0eeb584435511685201493850RedTapeMenWhitePerforationsPUHigh-TopSneakers1.jpg",Rs. 5599
Puma,Men C-Block Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20695810/2022/11/29/18316cfa-f5f9-497e-a1d5-ee9ad0e548721669708279218-Puma-Men-Off-White-Solid-C-Block-Sneakers-1211669708278787-1.jpg",Rs. 4499
Puma,Rebound Lay Up Casual Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18814736/2022/7/25/0d04a39f-4981-4635-8364-0f09bd7977881658749257245-Puma-Unisex-Casual-Shoes-131658749256879-1.jpg",Rs. 4999
U.S. Polo Assn.,Men Solid Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13855576/2023/8/28/b2c7a038-a4e5-4387-8798-8759d94e4de51693219815855-US-Polo-Assn-Men-Grey-Solid-Sneakers-3841693219815756-6.jpg",Rs. 2999
Red Tape,Men Perforated Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23837954/2023/7/1/51f02a41-ff82-4110-a983-2e99d455ce461688196182745RedTapeMenWhiteTexturedSneakers1.jpg",Rs. 5399
Red Tape,Men Memory Foam Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24804440/2023/9/4/5e041605-82e0-491f-b616-39fb168fccbc1693841089934RedTapeMenRedWovenDesignPUBrogues1.jpg",Rs. 5899
Puma,Unisex Up Baseline Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18814512/2022/7/25/8c56c907-6d3e-412a-a611-9f479882a0f51658732402927-Puma-Unisex-Casual-Shoes-4271658732402617-1.jpg",Rs. 3999
Red Tape,Men Colourblocked PU High-Top Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23410028/2023/5/26/0aac564d-628b-4974-8d35-78a8ab44dbd01685100093331RedTapeMenBlackColourblockedPUHigh-TopSneakers1.jpg",Rs. 5599
Puma,Men Starten Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22526220/2023/4/26/5cce6a05-22ca-44c9-a964-c723aa9911d11682503653260-Puma-Starten-Mens-Sneakers-861682503652994-1.jpg",Rs. 4999
Red Tape,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22933236/2023/4/28/4463b38a-a15a-4b5c-9077-3a99a5e8ac471682677575517RedTapeMenBlackColourblockedSneakers1.jpg",Rs. 5799
U.S. Polo Assn.,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11391306/2023/8/28/91f5242e-fbf2-433f-a256-aaa4a61ed99e1693219795031-US-Polo-Assn-Men-White--Black-Colourblocked-PANAL-Sneakers-4-6.jpg",Rs. 2999
