brand,name,image,price,
Puma,Men C-Block Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20695810/2022/11/29/18316cfa-f5f9-497e-a1d5-ee9ad0e548721669708279218-Puma-Men-Off-White-Solid-C-Block-Sneakers-1211669708278787-1.jpg",Rs. 4499,
Puma,Rebound Lay Up Casual Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18814736/2022/7/25/0d04a39f-4981-4635-8364-0f09bd7977881658749257245-Puma-Unisex-Casual-Shoes-131658749256879-1.jpg",Rs. 4999,
Puma,Unisex Up Baseline Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18814512/2022/7/25/8c56c907-6d3e-412a-a611-9f479882a0f51658732402927-Puma-Unisex-Casual-Shoes-4271658732402617-1.jpg",Rs. 3999,
Puma,Men Starten Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22526220/2023/4/26/5cce6a05-22ca-44c9-a964-c723aa9911d11682503653260-Puma-Starten-Mens-Sneakers-861682503652994-1.jpg",Rs. 4999,
Converse,Unisex Canvas Lace-Up Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25062046/2023/9/21/863f8fa3-cc98-4b69-af9c-481ab8e87c991695282964505ConverseUnisexWhiteSneakers1.jpg",Rs. 4299,
Puma,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17350718/2022/5/11/03a74544-12ad-4501-97d5-633b7d9d43971652267731013-Puma-Men-Casual-Shoes-2431652267730668-1.jpg",Rs. 4499,
Nike,Men Air Force 1 '07 Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23888388/2023/7/14/177ab4d0-f000-4a73-bd4b-237927777b1e1689329965540NikeMenAirForce107LV8Sneakers1.jpg",Rs. 10795,
Puma,Men Colourblocked IDP Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17350742/2022/5/12/725aaf62-bc16-4a45-8817-a2109b83b05d1652344701904-Puma-Men-White--Black-Colourblocked-IDP-Sneakers-17916523447-1.jpg",Rs. 4499,
Puma,Men C-Block Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20695804/2022/11/24/ab46964e-75c5-4af5-9194-0d9fae5c351c1669273735877-PUMA-C-Block-Mens-Shoes-7071669273735495-1.jpg",Rs. 4499,
Puma,Unisex Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16530962/2021/12/24/9f9b34b2-cba5-415a-9718-c224263649f11640350292538-Puma-Unisex-Casual-Shoes-1941640350292216-1.jpg",Rs. 3999,
