brand,name,image,price
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21724256/2023/1/28/786bfa9e-c54e-4dd3-a2cb-a3ebb822930b1674858618142RedTapeMenBlueMeshWalkingNon-MarkingShoes1.jpg",Rs. 6799
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21724254/2023/1/28/8e25db0f-28e9-4ebc-9f7e-3cc35c869a441674858618134RedTapeMenWhiteMeshWalkingNon-MarkingShoes1.jpg",Rs. 6799
Red Tape,Women Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22225324/2023/3/4/da20fc59-8da7-4b74-9a87-18de360fa5261677911985055RedTapeWomensBlackAthleisureShoes1.jpg",Rs. 4699
HRX by Hrithik Roshan,Women Lace-Up Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23976346/2023/7/11/0c4abc5b-6921-4234-a618-352c133bec6d1689091614542HRXbyHrithikRoshanWomenOffWhiteMeshRunningNon-MarkingShoes1.jpg",Rs. 3799
Puma,Softride Enzo Evo Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18806760/2022/11/6/75976411-155c-415c-bf9f-55ff5ecc9e101667717586019PumaBlackSoftrideEnzoEvoSportsShoes1.jpg",Rs. 6999
Puma,Unisex R Profoam Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21496336/2023/2/6/515477ab-5082-4570-ba87-fb7ca5296c6f1675686061364-Puma-Unisex-Redeem-Profoam-Running-Shoes-6381675686060984-1.jpg",Rs. 7999
Campus,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16521404/2021/12/15/ef71a18b-ee7e-4f5e-b7f3-4851cdf867541639556208287CampusWomenBlack1.jpg",Rs. 799
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23274980/2023/5/19/03ffbd3b-3692-4f32-8d28-eced7bab12691684495330084SportsShoes1.jpg",Rs. 5499
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21212624/2022/12/16/2a48ebd1-db4a-47b5-a368-5cde74a0d12c1671172705947RedTapeWomenPinkMeshWalkingNon-MarkingShoes1.jpg",Rs. 6099
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20060602/2022/9/17/33abdbc9-24cb-4047-95dc-d93a1ea6bff41663435474090RedTapeWomenBlackMeshWalkingNon-MarkingShoes1.jpg",Rs. 4199
HRX by Hrithik Roshan,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24031400/2023/7/14/3ab1269b-95a2-4934-b9cc-b1d0abb444ff1689358103795SportsShoes1.jpg",Rs. 2999
Liberty,Women Avila Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25003108/2023/9/16/b205162f-c28f-4468-8c19-51376a837c841694859216710LibertyWomenGreenMeshRunningNon-MarkingShoes1.jpg",Rs. 799
UNDER ARMOUR,Fat Tire Cuff Trekking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25254002/2023/9/29/75c12749-1f25-4ce0-8a14-57f790b6dd501695999217634UNDERARMOURUnisexSportsShoes1.jpg",Rs. 19999
Puma,T3 Football Non-Marking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24093556/2023/9/1/a92737b2-8237-4ea5-b47a-d49b362075051693568766340-TRUCO-IIl-Unisex--Football-Shoes-5871693568766069-1.jpg",Rs. 4499
HRX by Hrithik Roshan,Women Memory Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23773926/2023/6/27/a73baf58-636f-4754-b3e2-df786c5573b71687857846648HRXbyHrithikRoshanWomenBlackMeshRunningNon-MarkingShoes1.jpg",Rs. 4299
UNDER ARMOUR,Unisex Project Rock Recruit,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14649166/2021/7/7/335e99b3-5217-4e3a-b379-1008c30c41831625651610551-UA-Project-Rock-Recruit-7761625651610131-1.jpg",Rs. 9999
Red Tape,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21920768/2023/2/10/d890891f-9675-4bb9-9f12-a6ce1d231c7b1676019544044SportsShoes1.jpg",Rs. 5599
HRX by Hrithik Roshan,Women Lace-Up Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23976344/2023/7/11/cf6d6b67-186a-444a-a2a7-49afebad8a0c1689091586156HRXbyHrithikRoshanWomenOffWhiteMeshRunningNon-MarkingShoes1.jpg",Rs. 3799
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23938658/2023/7/8/e55db3a2-b3b9-4704-81a3-cf1f442e597f1688826224954RedTapeWomenBlueMeshWalkingShoes1.jpg",Rs. 4999
Skechers,Women GO RUN P-V Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20882834/2023/10/5/322a4946-c7d7-4cea-81dc-8415e36ca3161696497837703-Skechers-Women-Sports-Shoes-6451696497837460-1.jpg",Rs. 6999
Red Tape,Women Running Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22225318/2023/3/4/9f2852c3-690e-4246-afb6-4b9e030348bc1677911984547RedTapeSportsShoesforWomenLace-UpClosureAthleisureShoes1.jpg",Rs. 5499
Puma,Women Softride R Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24095508/2023/9/5/d812fe4e-0027-406d-a533-7df8625d67fe1693895389339-Softride-Remi-Womens-Running-Shoes-2631693895388978-1.jpg",Rs. 5999
HRX by Hrithik Roshan,Unisex Woven U-17 Running Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14980792/2022/6/20/2f716d67-4f39-4f82-b9e5-2187815c24221655719734593-HRX-by-Hrithik-Roshan-Unisex-Navy-Blue-Woven-Design-U-17-Run-1.jpg",Rs. 2799
Roadster,Lightweight Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23393216/2023/5/25/7a383540-5078-4635-91d4-4038fcc1250c1685006505748RoadsterLatestWomenCasualRunningWalkingSneakers-White1.jpg",Rs. 2399
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20183526/2022/9/27/265587f5-6137-4885-9834-a0bc796166f51664274407683RedTapeWomenNavyBlueMeshWalkingNon-MarkingShoes1.jpg",Rs. 5899
Denill,Women Solid Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16368544/2021/12/4/e335e556-e3f5-4ec5-b5c8-99ebb91ba1a51638611748748DenillWomenWhite1.jpg",Rs. 999
ASICS,Women GEL-EXCITE Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25168276/2023/9/26/8445fda3-65cc-4f00-99d1-bc151f249e341695708100931ASICSGEL-Excite10WomenRunningSportsShoes1.jpg",Rs. 7499
ADIDAS,Women Effortso Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20072180/2023/3/6/4e4031aa-9b67-4d74-a65d-06d713f7bd701678086175308-ADIDAS-Women-Woven-Design-Effortso-Walking-Shoes-94016780861-1.jpg",Rs. 3995
Nike,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24427132/2023/8/10/bb131cee-5a1a-41cf-aa2d-dad889b735aa1691607655581NikeDownshifter11WomensRoadRunningShoes1.jpg",Rs. 3600
Cultsport,Unisex X1 Training Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16557792/2022/7/28/3ee058a1-09c7-41e7-b236-05265dd45ce81658999986287-Cultsport-Unisex-Grey--Orange-X1-Training-Shoes-981165899998-12.jpg",Rs. 4999
UNDER ARMOUR,Unisex CurryHovrSplash3 Basket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23576182/2023/6/30/8061c91a-a847-4475-8086-1c42fb78fa011688115478811CURRYHOVRSPLASH31.jpg",Rs. 11499
Skechers,Women Go Walk Joy Walking Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23864696/2023/8/21/ba51f80c-5ecb-4362-9141-1700bdf0ce0c1692609078857-Skechers-Women-Sports-Shoes-5401692609078551-1.jpg",Rs. 4499
Red Tape,Women Walking Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21845782/2023/2/6/9b6cdc13-165a-4d4f-bb8a-b003e5a3ad731675667303074RedTapeWomenWhiteMeshWalkingNon-MarkingShoes1.jpg",Rs. 6599
Skechers,Women GO RUN PGM Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20883092/2023/10/5/62f4f8e7-b056-4a61-9601-96c46524ea101696497857352-Skechers-Women-Sports-Shoes-4401696497857066-1.jpg",Rs. 7499
Skechers,Women Go Walk Joy Walking Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23864716/2023/8/21/9f981066-b132-4226-97b3-890588f6c4411692609019873-Skechers-Women-Sports-Shoes-5531692609019488-1.jpg",Rs. 4499
Puma,Shuttle Aero Badminton Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23258386/2023/5/18/db8609da-6b80-487a-b6b2-0fe9d1b4666f1684421275318PumaShuttleAeroUnisexShoes1.jpg",Rs. 3999
Puma,Women SOFTRIDE EN RunningShoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24095516/2023/9/1/1702a527-35b0-43ec-be93-f1d9b3db02001693568809216-SOFTRIDE-Enzo-Nxt-Womens-Running-Shoes-3661693568808863-1.jpg",Rs. 5499
HRX by Hrithik Roshan,Women Slip-On Walking  Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24681504/2023/8/27/76c963b9-ce3b-4a34-b274-0a68ab831e641693146699722SportsShoes1.jpg",Rs. 3799
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21845778/2023/2/6/2d2e5d8f-f6df-43f0-827e-f6beab01f0b31675667283018RedTapeWomenPinkMeshWalkingNon-MarkingShoes1.jpg",Rs. 6599
Puma,Women Softride Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24183930/2023/7/27/c4ecc4ba-f8e1-454e-8c06-9e60ec3b353f1690398635442PumaWomenTexturedRunningSportsShoes1.jpg",Rs. 6499
Campus,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10071063/2022/6/30/d15fa186-a0e0-45c9-9541-ef06f446095d1656584530091-Campus-Women-Black-Mesh-Running-Shoes-7671656584529664-1.jpg",Rs. 1699
Puma,Shuttle Aero Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22805332/2023/4/18/b03c45ec-ff7c-4d9d-95a8-aee151fdd6311681791099576PumaShuttleAeroUnisexShoes1.jpg",Rs. 3999
Campus,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17319470/2022/7/26/e13066ac-7e8b-4bd6-8a1c-9a357ec1d5281658813487218-Campus-Women-Black-Mesh-Running-Shoes-2301658813487107-6.jpg",Rs. 1799
HRX by Hrithik Roshan,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13692162/2021/9/30/81049a99-53d8-4b7f-93c4-67f6361610dc1632977071993-HRX-by-Hrithik-Roshan-Women-Sports-Shoes-6031632977071650-1.jpg",Rs. 2799
Puma,Women NRGY Comet Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11418594/2020/2/10/f70ed90c-3948-4783-b658-512f526fd5cb1581315055649-Puma-Women-Sports-Shoes-4191581315053981-1.jpg",Rs. 4499
Red Tape,Women Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21212630/2022/12/16/17daf6b1-bb90-4144-9bb2-c86c481c99371671173471901RedTapeWomenBlackTextileWalkingNon-MarkingShoes1.jpg",Rs. 5199
Sparx,Women Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25413876/2023/10/9/378e4cd5-79fc-4b3e-ad92-550dd4a71dcb1696869685653SparxWomenGreyMeshRunningShoes1.jpg",Rs. 1099
Puma,Women Hybrid Fuego Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10422684/2022/6/13/34273770-50f7-482b-8bd5-e6d2276f9e141655120576655PumaWomenWhiteHybridFuegoRunningShoes1.jpg",Rs. 6999
ADIDAS,Unisex ULTRA 4D Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23130872/2023/9/14/61627855-d8b7-482d-8a8d-183ea552b7c61694669980936-ADIDAS-Unisex-Sports-Shoes-8511694669980674-1.jpg",Rs. 21999
Red Tape,Women Textile Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22718296/2023/4/10/3c9c9db1-67a2-410e-b236-abafd0da425a1681139876764RedTapeSportsAthleisureShoesforWomenComfortableSlip-Resistan1.jpg",Rs. 5499
